contrast,estimate,SE,df,t.ratio,p.value
HETARB - UMBCAL,0.1558,0.0824,1437,1.8894,0.9757
MALLAU - PINJEF,0.1971,0.0797,1437,2.472,0.7169
MALLAU - PSEMEN,0.1712,0.1175,1437,1.4574,0.9993
MALLAU - QUEAGR,-0.4065,0.0789,1437,-5.1526,1e-4
MALLAU - QUEBER,-0.3102,0.0881,1437,-3.5229,0.0788
MALLAU - QUEDOU,-0.1382,0.0784,1437,-1.7619,0.9898
MALLAU - QUEDUR,-0.2906,0.1012,1437,-2.8727,0.4012
MALLAU - QUEGAR,-0.054,0.1005,1437,-0.5371,1
MALLAU - QUEKEL,0.0791,0.0821,1437,0.9642,1
MALLAU - SALLEU,0.1789,0.0849,1437,2.1082,0.9214
MALLAU - SALMEL,0.2005,0.0857,1437,2.3401,0.807
MALLAU - UMBCAL,0.0802,0.1088,1437,0.7366,1
PINJEF - PSEMEN,-0.0259,0.0919,1437,-0.282,1
PINJEF - QUEAGR,-0.6036,0.0296,1437,-20.3858,0
PINJEF - QUEBER,-0.5073,0.0491,1437,-10.3387,0
PINJEF - QUEDOU,-0.3353,0.0284,1437,-11.8239,0
PINJEF - QUEDUR,-0.4877,0.0699,1437,-6.9774,0
PINJEF - QUEGAR,-0.251,0.0689,1437,-3.6449,0.0534
PINJEF - QUEKEL,-0.118,0.0373,1437,-3.1643,0.2134
PINJEF - SALLEU,-0.0182,0.0431,1437,-0.4225,1
PINJEF - SALMEL,0.0034,0.0446,1437,0.0764,1
PINJEF - UMBCAL,-0.1169,0.0806,1437,-1.4507,0.9994
PSEMEN - QUEAGR,-0.5777,0.0912,1437,-6.3352,0
PSEMEN - QUEBER,-0.4814,0.0992,1437,-4.8516,4e-4
PSEMEN - QUEDOU,-0.3094,0.0908,1437,-3.4075,0.1113
PSEMEN - QUEDUR,-0.4618,0.111,1437,-4.1596,0.0081
PSEMEN - QUEGAR,-0.2251,0.1104,1437,-2.0397,0.9434
PSEMEN - QUEKEL,-0.092,0.094,1437,-0.9795,1
PSEMEN - SALLEU,0.0077,0.0964,1437,0.0802,1
PSEMEN - SALMEL,0.0293,0.0971,1437,0.302,1
