"","Species","date","wp","time","lfm","study","tissue_age","Sp.Site"
"189","QUEGAR",2022-06-17,-2.43,"md",0.9348659,"Pepperwood",NA,"QUEGAR_Pepperwood"
"190","QUEKEL",2022-06-16,-0.3,"pd",1.126344086,"Pepperwood",NA,"QUEKEL_Pepperwood"
"191","QUEKEL",2022-06-16,-1.83,"md",1.126344086,"Pepperwood",NA,"QUEKEL_Pepperwood"
"192","QUEKEL",2022-06-17,-0.45,"pd",1.041310541,"Pepperwood",NA,"QUEKEL_Pepperwood"
"193","QUEKEL",2022-06-17,-1.83,"md",1.041310541,"Pepperwood",NA,"QUEKEL_Pepperwood"
"194","QUEDOU",2022-06-17,-0.17,"pd",1.252118644,"Pepperwood",NA,"QUEDOU_Pepperwood"
"195","QUEDOU",2022-06-17,-1.23,"md",1.252118644,"Pepperwood",NA,"QUEDOU_Pepperwood"
"196","QUEKEL",2022-06-17,-0.39,"pd",1.008973081,"Pepperwood",NA,"QUEKEL_Pepperwood"
"197","QUEKEL",2022-06-17,-1.59,"md",1.008973081,"Pepperwood",NA,"QUEKEL_Pepperwood"
"198","UMBCAL",2022-06-17,-0.27,"pd",1.4375,"Pepperwood",NA,"UMBCAL_Pepperwood"
"199","UMBCAL",2022-06-17,-1.45,"md",1.4375,"Pepperwood",NA,"UMBCAL_Pepperwood"
"200","QUEAGR",2022-06-16,-0.31,"pd",0.956140351,"Pepperwood",NA,"QUEAGR_Pepperwood"
"201","QUEAGR",2022-06-16,-0.96,"md",0.956140351,"Pepperwood",NA,"QUEAGR_Pepperwood"
"202","QUEAGR",2022-06-16,-0.25,"pd",1.454368932,"Pepperwood",NA,"QUEAGR_Pepperwood"
"203","QUEAGR",2022-06-16,-0.28,"md",1.454368932,"Pepperwood",NA,"QUEAGR_Pepperwood"
"204","UMBCAL",2022-06-16,-0.42,"pd",1.354666667,"Pepperwood",NA,"UMBCAL_Pepperwood"
"205","UMBCAL",2022-06-16,-0.68,"md",1.354666667,"Pepperwood",NA,"UMBCAL_Pepperwood"
"206","UMBCAL",2022-06-16,-0.53,"pd",1.234269119,"Pepperwood",NA,"UMBCAL_Pepperwood"
"207","UMBCAL",2022-06-16,-1.33,"md",1.234269119,"Pepperwood",NA,"UMBCAL_Pepperwood"
"208","UMBCAL",2022-06-16,-0.39,"pd",1.648444863,"Pepperwood",NA,"UMBCAL_Pepperwood"
"209","UMBCAL",2022-06-16,-0.96,"md",1.648444863,"Pepperwood",NA,"UMBCAL_Pepperwood"
"210","UMBCAL",2022-06-16,-0.37,"pd",2.295739348,"Pepperwood",NA,"UMBCAL_Pepperwood"
"211","UMBCAL",2022-06-16,-0.43,"md",2.295739348,"Pepperwood",NA,"UMBCAL_Pepperwood"
"212","PSEMEN",2022-06-16,-0.31,"pd",1.427350427,"Pepperwood",NA,"PSEMEN_Pepperwood"
