x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
195,HETARB,2015-09-16,-3.72,0.7367,StuntRanch,both,HETARB_StuntRanch,1.3574046423238768,StR
196,QUEAGR,2015-09-16,-2.52,0.6976,StuntRanch,both,QUEAGR_StuntRanch,1.43348623853211,StR
197,QUEAGR,2015-09-16,-2.83,0.6505,StuntRanch,both,QUEAGR_StuntRanch,1.5372790161414298,StR
198,QUEAGR,2015-09-16,-2.83,0.7421,StuntRanch,both,QUEAGR_StuntRanch,1.3475272874275703,StR
199,QUEAGR,2015-09-16,-3.1,0.7354,StuntRanch,both,QUEAGR_StuntRanch,1.3598041881968996,StR
200,QUEAGR,2015-09-16,-4.83,0.705,StuntRanch,both,QUEAGR_StuntRanch,1.4184397163120568,StR
201,QUEBER,2015-09-16,-3.31,0.6531,StuntRanch,both,QUEBER_StuntRanch,1.5311590874291838,StR
202,QUEBER,2015-09-16,-3.52,0.5891,StuntRanch,both,QUEBER_StuntRanch,1.6975046681378374,StR
203,QUEBER,2015-09-16,-3.55,0.6333,StuntRanch,both,QUEBER_StuntRanch,1.5790304752881732,StR
204,QUEBER,2015-09-16,-3.59,0.5814,StuntRanch,both,QUEBER_StuntRanch,1.719986240110079,StR
205,QUEBER,2015-09-16,-3.93,0.6171,StuntRanch,both,QUEBER_StuntRanch,1.6204829039053639,StR
206,SALLEU,2015-09-16,-2.34,0.8092,StuntRanch,both,SALLEU_StuntRanch,1.2357884330202669,StR
207,SALLEU,2015-09-16,-2.55,1.0264,StuntRanch,both,SALLEU_StuntRanch,0.9742790335151987,StR
208,SALLEU,2015-09-16,-2.65,0.915,StuntRanch,both,SALLEU_StuntRanch,1.0928961748633879,StR
209,SALLEU,2015-09-16,-2.72,0.9395,StuntRanch,both,SALLEU_StuntRanch,1.06439595529537,StR
210,SALMEL,2015-09-16,-1.86,1.2233,StuntRanch,both,SALMEL_StuntRanch,0.8174609662388621,StR
211,SALMEL,2015-09-16,-1.86,1.0711,StuntRanch,both,SALMEL_StuntRanch,0.9336196433572963,StR
212,SALMEL,2015-09-16,-2.07,1.0404,StuntRanch,both,SALMEL_StuntRanch,0.9611687812379854,StR
213,SALMEL,2015-09-16,-2.21,1.2185,StuntRanch,both,SALMEL_StuntRanch,0.8206811653672549,StR
214,SALMEL,2015-09-16,-2.28,1.1309,StuntRanch,both,SALMEL_StuntRanch,0.8842514811212309,StR
215,ADEFAS,2015-10-07,-5.93,0.5985,StuntRanch,both,ADEFAS_StuntRanch,1.670843776106934,StR
